Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&SpellLevel4FormatTitle	4 ° livello
Rules/&SpellLevel5FormatTitle	5 ° livello
Rules/&SpellLevel6FormatTitle	6 ° livello
Rules/&SpellLevel7FormatTitle	7 ° livello
Rules/&SpellLevel8FormatTitle	8 ° livello
Rules/&SpellLevel9FormatTitle	9 ° livello
Rules/&SpellSlotFormRecoverHalfLevelUpFormat	Recupera metà del tuo livello di classe (arrotondato per eccesso) di slot incantesimi fino al livello {0}.
Rules/&SummonFormCreaturesMultipleFormat	Evoca {0} (x {1}).
Rules/&SummonFormCreaturesSingleFormat	Evoca {0}.
Rules/&SummonFormEffectProxyFormat	Evoca "{0}" affinché tu possa controllarlo
Rules/&SummonFormInventoryItemsMultipleFormat	Evoca {0} (x {1}) nell'inventario
Rules/&SummonFormInventoryItemsSingleFormat	Evoca {0} nell'inventario
Rules/&TemporaryHitPointsFormFormat	{0} {1} {2} punti ferita temporanei
Rules/&TopologyFormProjectileBlockerFormat	Blocca i proiettili ordinari (frecce, bulloni, ecc.)
Rules/&TopologyFormSightBlockerFormat	Blocca la linea di vista
Rules/&TurnOccurenceEndOfTurnFormat	Fine del turno
Rules/&TurnOccurenceEndOfTurnNoPerceptionOfSourceFormat	Fine del turno
Rules/&TurnOccurenceStartOfTurnFormat	Inizio del turno
Rules/&VerboseComponentTitle	V
Rules/&VersatileDamageFormFormat	\nVersatile: {0} {1} {2} {3}
Rules/&VersatileTwoHandedTitle	A due mani:
Rules/&WeightFormat	{0} {1}
Rules/&WeightRatioFormat	{0} / {1} {2}
Rules/&TopologyFormDifficultThroughFormat	Questa zona rallenta chi la attraversa.
Rules/&TopologyFormSightImpairedFormat	Le creature in quest'area non possono vedere nulla.
Rules/&TopologyFormDangerousZoneFormat	Questa zona ferisce coloro che la attraversano.
Rules/&EffectTargetCubeWithOffsetTitle	Cubo a 3 celle proveniente da te
Rules/&ConditionBlessingSorrtarrTitle	Benedizione di Sorr-Tarr
Rules/&ConditionBlessingSorrtarrDescription	Sembra alleviare i Sorak dalla loro vulnerabilità alla luce.
Rules/&ConditionAnnoyedByBeeTitle	Distratto da un'ape fastidiosa
Rules/&ConditionAnnoyedByBeeDescription	Svantaggio sulla concentrazione fino al prossimo turno.
Rules/&ConditionDetectPoisonAndDiseaseTitle	Rileva veleno e malattia
Rules/&ConditionDetectPoisonAndDiseaseDescription	Per la durata dell'incantesimo, puoi percepire creature velenose e malattie entro 6 cellule da te.
Rules/&ConditionCharmedByAnimalFrienshipTitle	Incantato dall'amicizia animale
Rules/&ConditionCharmedByAnimalFrienshipDescription	Questa bestia sarà incantata per la durata dell'incantesimo o finché tu o uno dei tuoi compagni non la danneggiate.
Rules/&ConditionSanctuaryTitle	Santuario
Rules/&ConditionSanctuaryDescription	Proteggi una creatura entro il raggio dagli attacchi. Fino al termine dell'incantesimo, qualsiasi creatura che bersaglia la creatura protetta con un attacco o un incantesimo dannoso deve effettuare un tiro salvezza su Saggezza o scegliere un altro bersaglio.
Rules/&ConditionWardedBySanctuaryTitle	Schermato da Sanctuary
Rules/&ConditionWardedBySanctuaryDescription	Sei protetto fino al termine dell'incantesimo o finché non lanci un incantesimo o lanci un attacco.
Rules/&ConditionProtectedFromEnergyAcidTitle	Protetto dagli acidi
Rules/&ConditionProtectedFromEnergyAcidDescription	Resistenza ai danni da acido
Rules/&ConditionProtectedFromEnergyColdTitle	Protetto dal freddo
Rules/&ConditionProtectedFromEnergyColdDescription	Resistenza ai danni da freddo
Rules/&ConditionProtectedFromEnergyFireTitle	Protetto dal fuoco
Rules/&ConditionProtectedFromEnergyFireDescription	Resistenza ai danni da fuoco
Rules/&ConditionProtectedFromEnergyLightningTitle	Protetto dai fulmini
Rules/&ConditionProtectedFromEnergyLightningDescription	Resistenza ai fulmini
Rules/&ConditionProtectedFromEnergyThunderTitle	Protetto dai tuoni
Rules/&ConditionProtectedFromEnergyThunderDescription	Resistenza ai danni del tuono
Rules/&AlterationFormDissipateSpellFormat	Dissipa gli incantesimi sugli oggetti
Rules/&ConditionMindControlledByConjureAnimalTitle	Animale evocato
Rules/&ConditionMindControlledByConjureAnimalDescription	Questo animale è stato evocato da un'altra creatura.
Rules/&ConditionSilencedTitle	Silenziato
Rules/&ConditionWardedByWardingBondTitle	Protetto da Warding Bond
Rules/&ConditionWardedByWardingBondDescription	Temp
Rules/&ConditionWaterWalkTitle	Camminare sull'acqua
Rules/&ConditionWaterWalkDescription	Temp
Rules/&ConditionWaterBreathingTitle	Respirazione dell'acqua
Rules/&ConditionWaterBreathingDescription	Temp
Rules/&ConditionRestrictedInsideMagicCircleDescription	Temp
Rules/&ConditionProtectedInsideMagicCircleDescription	Temp
Rules/&ConditionComprehendLanguagesTitle	Comprendere le lingue
Rules/&ConditionComprehendLanguagesDescription	Può leggere e parlare qualsiasi lingua.
Rules/&ConditionStaffOfMetisTitle	Personale di Metis
Rules/&ConditionStaffOfMetisDescription	Resistenza ai danni da freddo, fuoco e fulmini.
Rules/&ConditionFlying6Description	La creatura bersaglio ottiene una velocità di volo di 6 caselle per azione di movimento.
Rules/&AlterationFormAbilityScoreIncreaseValueFormat	Aumenta il punteggio {0} di {1}.
Rules/&AlterationFormAbilityScoreIncreaseMaximumFormat	Aumenta il {0} massimo di {1}.
Rules/&ConditionHeavyArmorOverloadDescription	FOR insufficiente per questa armatura pesante. La velocità è ridotta di 2.
Rules/&ConditionHeavyArmorOverloadTitle	Sovraccarico di armature pesanti
Rules/&MoveModeWalkTitle	Camminare
Rules/&MoveModeClimbTitle	Scalata
Rules/&MoveModeFlyTitle	Volare
Rules/&MoveModeIncorporealTitle	Incorporeo
Rules/&MoveModeSwimTitle	Nuotare
Rules/&MoveModeBurrowTitle	Tana
Rules/&ConditionCloakOfDisplacementDescription	Gli attacchi a questa creatura hanno svantaggio fintanto che è cosciente e in grado di muoversi. Cessa di funzionare fino al turno successivo se danneggiato.
Rules/&ConditionCloakOfDisplacementTitle	Spostati
Rules/&ConditionHeavilyObscuredDescription	La visione della creatura è pesantemente oscurata; svantaggio nei tiri per colpire; i tiri per colpire contro una creatura hanno svantaggio.
Rules/&ConditionConjuredCreatureDescription	Questa creatura è stata evocata da un effetto magico
Rules/&ConditionConjuredCreatureTitle	Creatura evocata
Rules/&ConditionBleedingDescription	Le creature subiscono 1D6 danni necrotici all'inizio del proprio turno
Rules/&ConditionBleedingTitle	Doomblade Cut
Rules/&ConditionSilencedDescription	La creatura non emette alcun suono e non può parlare o lanciare incantesimi con una componente verbale
Rules/&ConditionProtectedFromEvilDescription	Aberrazioni, celestiali, elementali, folletti, demoni e non morti hanno lo svantaggio di attaccare il bersaglio e non possono affascinarlo, spaventarlo o possederlo. Se il bersaglio è già incantato, spaventato o posseduto da una tale creatura, il bersaglio ha vantaggio in ogni nuovo tiro salvezza contro l'effetto pertinente.
Rules/&ConditionMarkedByFateDescription	Riceve danni aggiuntivi quando viene colpito.
Rules/&ConditionMarkedByFateTitle	Marchio del destino
Rules/&ConditionStepbackDescription	Vantaggio al prossimo attacco con l'arco in questo turno.
Rules/&ConditionStepbackTitle	Vantaggio di un passo indietro
Rules/&ConditionInvisibleGreaterDescription	Non può essere visto senza magia; la creatura ha vantaggio sugli attacchi; gli attaccanti hanno uno svantaggio. La creatura rimane invisibile anche quando attacca e lancia incantesimi.
Rules/&ConditionInvisibleGreaterTitle	Invisibile (maggiore)
Rules/&ConditionStoneskinDescription	Resistenza ai danni contundenti, taglienti e perforanti non magici.
Rules/&ConditionStoneskinTitle	Pelle di pietra
Rules/&ConditionFrightenedPhantasmalKillerDescription	La creatura è spaventata e riceve danni psichici ogni turno finché non supera un tiro salvezza.
Rules/&ConditionFrightenedPhantasmalKillerTitle	Spaventato da Phantasm
Rules/&ConditionFireShieldWarmDescription	Resistente al freddo e reagisce con danni da fuoco contro gli attaccanti corpo a corpo.
Rules/&ConditionFireShieldColdDescription	Resistente al fuoco e reagisce con danni da freddo contro gli attaccanti corpo a corpo.
Rules/&ConditionDeathWardedTitle	Protetto dalla morte
Rules/&ConditionDeathWardedDescription	Quando viene ridotto a 0 punti ferita, HP è invece impostato su 1, prevenendo la morte istantanea a causa di danni o effetti ingenti.
Rules/&ConditionConfusedTitle	Confuso
Rules/&ConditionConfusedDescription	All'inizio di questo turno, la creatura può allontanarsi, non agire affatto, attaccare in mischia un bersaglio a portata di mano o agire normalmente.
Rules/&ConditionBanishedTitle	Bandito
Rules/&ConditionBanishedDescription	La creatura viene rimossa dal gioco per la durata dell'incantesimo, a meno che l'incantesimo non venga interrotto prima di allora. Se l'incantesimo rimane intatto per tutta la sua durata, la creatura viene bandita permanentemente se è extraplanare (celeste, demone, elementale).
Rules/&SpecialBehaviourConditionDuringTurnFormat	{3} è influenzato durante il turno.
Rules/&SpecialBehaviourNoneFormat	{3} agisce normalmente.
Rules/&ConditionConfusedAttackTitle	Attaccare casualmente
Rules/&ConditionConfusedAttackDescription	La creatura deve usare la sua azione per attaccare casualmente una creatura alla sua portata, se possibile.
Rules/&ConditionConfusedMoveTitle	Spostamento casuale
Rules/&ConditionConfusedMoveDescription	La creatura deve muoversi in una direzione casuale.
Rules/&ConditionConfusedIncapacitatedTitle	Incapacitato
Rules/&ConditionConfusedIncapacitatedDescription	La creatura non può fare nulla a causa della sua confusione.
Rules/&ConditionFeatRaiseShieldDescription	Ottieni +3 CA fino alla fine del turno dell'attaccante.
Rules/&ConditionFeatRaiseShieldTitle	Scudo rialzato
Rules/&ConditionFeatTwinBladeDescription	Ottieni +3 CA fino alla fine del turno dell'attaccante.
Rules/&ConditionFeatTwinBladeTitle	Blocco a doppia lama
Rules/&DurationTurnSingleFormat	{0} svolta
Rules/&DurationTurnPluralFormat	{0} turni
Rules/&ConditionFeatTakeAimDescription	I tuoi attacchi con armi a distanza non hanno svantaggi o vantaggi, indipendentemente dalle condizioni.
Rules/&ConditionFeatTakeAimTitle	Prendere la mira
Rules/&ConditionFeatRushToBattleDescription	La tua velocità di movimento è aumentata di 3 celle e la tua CA è ridotta di 2 fino all'inizio del tuo turno.
Rules/&ConditionFeatRushToBattleTitle	Correndo alla battaglia
Rules/&ConditionDispellingEvilAndGoodTitle	Dissipare il male e il bene
Rules/&ConditionDispellingEvilAndGoodDescription	Celestiali, elementali, folletti, demoni e non morti hanno svantaggio sugli attacchi contro di te. Puoi anche annullare un incantesimo ostile o respingere una creatura extraplanare colpita da uno dei tuoi attacchi.
Rules/&ConditionMindControlledDescription	La creatura si unisce all'incantatore che controlla.
Rules/&ConditionMindDominatedDescription	Le azioni della creatura sono totalmente controllate dall'incantatore.
Rules/&ConditionMindDominatedTitle	Mente dominata
Rules/&ConditionOnAcidTitle	Bruciando dall'acido
Rules/&ConditionPheromonedTitle	Puzza di feromoni
Rules/&ConditionPheromonedDescription	-3 ai controlli di capacità CHARISMA per sei ore.
Rules/&ConditionOnAcidDescription	Subisci 1D3 danni da acido alla fine del tuo turno per 3 turni.
Rules/&ActivationTypePermanentTitle	Permanente
Rules/&MonsterSpellcastingTitle	Incantesimo
Rules/&MonsterSpellcastingDescription	La creatura ha la capacità di lanciare incantesimi
Rules/&ConditionCalmedByCalmEmotionsEnemyTitle	Nemico calmo
Rules/&ConditionCalmedByCalmEmotionsEnemyDescription	La creatura è indifferente verso i nemici a meno che non sia ferita
Rules/&ConditionCalmedByCalmEmotionsAllyTitle	Alleato calmo
Rules/&ConditionCalmedByCalmEmotionsAllyDescription	La creatura non può essere affascinata o spaventata
Rules/&OrientationNorthTitle	Nord
Rules/&OrientationEastTitle	est
Rules/&OrientationSouthTitle	Sud
Rules/&OrientationWestTitle	ovest
