Spell/&AcidArrowDescription	Lancia una freccia acida.
Spell/&HoldMonsterDescription	Paralizza una creatura a meno che non superi un tiro salvezza con saggezza. Nessun effetto sui non morti.
Spell/&InsectPlagueTitle	Piaga degli insetti
Spell/&InsectPlagueDescription	Evoca una sfera di insetti pungenti.
Spell/&MassCureWoundsTitle	Cura delle ferite di massa
Spell/&MassCureWoundsDescription	Cura fino a 6 creature.
Spell/&WallOfForceTitle	Muro di forza
Spell/&WallOfForceDescription	Evoca un muro invisibile che blocca il movimento e gli attacchi.
Spell/&MindTwistTitle	Mind Twist
Spell/&MindTwistDescription	Provoca ingenti danni psichici alle creature ostili intorno a te e le rende inabili se falliscono il tiro salvezza INT.
Spell/&CalmEmotionsDescription	Impedisce agli alleati di essere affascinati o spaventati o rende i nemici indifferenti.
Spell/&CalmEmotionsOnEnemyDescription	Rende i nemici indifferenti ai tuoi alleati a meno che non siano feriti.
Spell/&Spell_Flameblade_Title	Lama di fiamma
Spell/&Spell_Flameblade_Description	Evoca una lama infuocata per dieci minuti che puoi impugnare in battaglia.
Spell/&GustOfWindDescription	Una linea di forte vento soffia da te nella direzione che hai scelto per la durata dell'incantesimo.
