Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&SpellLevel8FormatTitle	8 lvl
Rules/&SpellLevel9FormatTitle	9 lvl
Rules/&SpellSlotFormRecoverHalfLevelUpFormat	Recupera la mitad de tu nivel de clase (redondeado hacia arriba) de los espacios de hechizos hasta el nivel {0}.
Rules/&SummonFormCreaturesMultipleFormat	Invocar {0} (x {1}).
Rules/&SummonFormCreaturesSingleFormat	Invocar a {0}.
Rules/&SummonFormEffectProxyFormat	Invoca "{0}" para que lo controles
Rules/&SummonFormInventoryItemsMultipleFormat	Convocar {0} (x {1}) al inventario
Rules/&SummonFormInventoryItemsSingleFormat	Convocar a {0} al inventario
Rules/&TemporaryHitPointsFormFormat	{0} {1} {2} puntos de vida temporales
Rules/&TopologyFormProjectileBlockerFormat	Bloquea proyectiles ordinarios (flechas, pernos, etc.)
Rules/&TopologyFormSightBlockerFormat	Bloquea la línea de visión
Rules/&TurnOccurenceEndOfTurnFormat	Fin de turno
Rules/&TurnOccurenceEndOfTurnNoPerceptionOfSourceFormat	Fin de turno
Rules/&TurnOccurenceStartOfTurnFormat	Inicio de turno
Rules/&VerboseComponentTitle	V
Rules/&VersatileDamageFormFormat	\nVersátil: {0} {1} {2} {3}
Rules/&VersatileTwoHandedTitle	Dos manos:
Rules/&WeightFormat	{0} {1}
Rules/&WeightRatioFormat	{0} / {1} {2}
Rules/&TopologyFormDifficultThroughFormat	Esta zona ralentiza a quienes la atraviesan.
Rules/&TopologyFormSightImpairedFormat	Las criaturas de esta zona no pueden ver nada.
Rules/&TopologyFormDangerousZoneFormat	Esta zona duele a quienes la atraviesan.
Rules/&EffectTargetCubeWithOffsetTitle	Cubo de 3 casillas que se origina desde el lanzador
Rules/&ConditionBlessingSorrtarrTitle	Bendición de Sorr-Tarr
Rules/&ConditionBlessingSorrtarrDescription	Parece aliviar a los soraks de su vulnerabilidad a la luz.
Rules/&ConditionAnnoyedByBeeTitle	Distraído por una abeja molesta
Rules/&ConditionAnnoyedByBeeDescription	Desventaja de concentración hasta el próximo turno.
Rules/&ConditionDetectPoisonAndDiseaseTitle	Detecta venenos y enfermedades
Rules/&ConditionDetectPoisonAndDiseaseDescription	Mientras dure el hechizo, puedes sentir criaturas venenosas y enfermedades a 6 casillas de ti.
Rules/&ConditionCharmedByAnimalFrienshipTitle	Encantado por la amistad animal
Rules/&ConditionCharmedByAnimalFrienshipDescription	Esta bestia quedará encantada mientras dure el hechizo o hasta que tú o uno de tus compañeros la dañen.
Rules/&ConditionSanctuaryTitle	Santuario
Rules/&ConditionSanctuaryDescription	Proteges a una criatura dentro del alcance contra un ataque. Hasta que termine el hechizo, cualquier criatura que tenga como objetivo a la criatura protegida con un ataque o un hechizo dañino debe realizar una tirada de salvación de Sabiduría o elegir otro objetivo.
Rules/&ConditionWardedBySanctuaryTitle	Blindado por Santuario
Rules/&ConditionWardedBySanctuaryDescription	Estás protegido hasta que termine el hechizo o hasta que lances un hechizo o lances un ataque.
Rules/&ConditionProtectedFromEnergyAcidTitle	Protegido del ácido
Rules/&ConditionProtectedFromEnergyAcidDescription	Resistencia al daño por ácido
Rules/&ConditionProtectedFromEnergyColdTitle	Protegido del Frio
Rules/&ConditionProtectedFromEnergyColdDescription	Resistencia al daño por frío
Rules/&ConditionProtectedFromEnergyFireTitle	Protegido del fuego
Rules/&ConditionProtectedFromEnergyFireDescription	Resistencia al daño por fuego
Rules/&ConditionProtectedFromEnergyLightningTitle	Protegido de los rayos
Rules/&ConditionProtectedFromEnergyLightningDescription	Resistencia al daño del rayo
Rules/&ConditionProtectedFromEnergyThunderTitle	Protegido del Trueno
Rules/&ConditionProtectedFromEnergyThunderDescription	Resistencia al daño del trueno
Rules/&AlterationFormDissipateSpellFormat	Disipa los hechizos en los objetos.
Rules/&ConditionMindControlledByConjureAnimalTitle	Animal conjurado
Rules/&ConditionMindControlledByConjureAnimalDescription	Este animal ha sido conjurado por otra criatura.
Rules/&ConditionSilencedTitle	Silenciado
Rules/&ConditionWardedByWardingBondTitle	Protegido por un vínculo protector
Rules/&ConditionWardedByWardingBondDescription	Temperatura
Rules/&ConditionWaterWalkTitle	Caminar sobre el agua
Rules/&ConditionWaterWalkDescription	Temperatura
Rules/&ConditionWaterBreathingTitle	Respiración de agua
Rules/&ConditionWaterBreathingDescription	Temperatura
Rules/&ConditionRestrictedInsideMagicCircleDescription	Temperatura
Rules/&ConditionProtectedInsideMagicCircleDescription	Temperatura
Rules/&ConditionComprehendLanguagesTitle	Comprensión de idiomas
Rules/&ConditionComprehendLanguagesDescription	Puede leer y hablar cualquier idioma.
Rules/&ConditionStaffOfMetisTitle	Resistencia elemental
Rules/&ConditionStaffOfMetisDescription	Resistencia al daño por frío, fuego y rayo.
Rules/&ConditionFlying6Description	La criatura objetivo gana una velocidad de vuelo de 6 casillas por acción de movimiento.
Rules/&AlterationFormAbilityScoreIncreaseValueFormat	Aumenta la puntuación de {0} en {1}.
Rules/&AlterationFormAbilityScoreIncreaseMaximumFormat	Aumenta el {0} máximo en {1}.
Rules/&ConditionHeavyArmorOverloadDescription	FUE insuficiente para esta armadura. La velocidad se reduce en 2.
Rules/&ConditionHeavyArmorOverloadTitle	Sobrecarga de armadura pesada
Rules/&MoveModeWalkTitle	Caminar
Rules/&MoveModeClimbTitle	Escalada
Rules/&MoveModeFlyTitle	Volar
Rules/&MoveModeIncorporealTitle	Incorpóreo
Rules/&MoveModeSwimTitle	Nadar
Rules/&MoveModeBurrowTitle	Madriguera
Rules/&ConditionCloakOfDisplacementDescription	Los ataques a esta criatura tienen desventajas siempre que esté consciente y pueda moverse. Deja de funcionar hasta el siguiente turno si está dañado.
Rules/&ConditionCloakOfDisplacementTitle	Desplazado
Rules/&ConditionHeavilyObscuredDescription	La visión de la criatura está muy oscurecida; desventaja en las tiradas de ataque; Las tiradas de ataque contra la criatura tienen desventaja.
Rules/&ConditionConjuredCreatureDescription	Esta criatura ha sido conjurada por un efecto mágico.
Rules/&ConditionConjuredCreatureTitle	Criatura conjurada
Rules/&ConditionBleedingDescription	Las criaturas sufren 1D6 de daño necrótico al comienzo de su turno.
Rules/&ConditionBleedingTitle	Corte Doomblade
Rules/&ConditionSilencedDescription	La criatura no emite ningún sonido y no puede hablar ni lanzar hechizos con un componente verbal.
Rules/&ConditionProtectedFromEvilDescription	Las aberraciones, celestiales, elementales, hadas, demonios y muertos vivientes tienen desventajas para atacar al objetivo y no pueden hechizarlo, asustarlo ni poseerlo. Si el objetivo ya está encantado, asustado o poseído por tal criatura, el objetivo tiene ventaja en cualquier nueva tirada de salvación contra el efecto relevante.
Rules/&ConditionMarkedByFateDescription	Recibe daño adicional cuando es golpeado.
Rules/&ConditionMarkedByFateTitle	Marca del destino
Rules/&ConditionStepbackDescription	Aprovecha el próximo ataque con un arco este turno.
Rules/&ConditionStepbackTitle	Ventaja de un paso atrás
Rules/&ConditionInvisibleGreaterDescription	No se puede ver sin magia; la criatura tiene ventaja en los ataques; los atacantes tienen desventaja. La criatura permanece invisible incluso cuando ataca y lanza hechizos.
Rules/&ConditionInvisibleGreaterTitle	Invisible (mayor)
Rules/&ConditionStoneskinDescription	Resistencia al daño contundente, cortante y perforante no mágico.
Rules/&ConditionStoneskinTitle	Piel de piedra
Rules/&ConditionFrightenedPhantasmalKillerDescription	La criatura está asustada y recibe daño psíquico cada turno hasta que logra una tirada de salvación.
Rules/&ConditionFrightenedPhantasmalKillerTitle	Asustado por el fantasma
Rules/&ConditionFireShieldWarmDescription	Resistente al frío y contraataca con daño de fuego contra atacantes cuerpo a cuerpo.
Rules/&ConditionFireShieldColdDescription	Resistente al fuego y contraataca con daño de frío contra atacantes cuerpo a cuerpo.
Rules/&ConditionDeathWardedTitle	Death Warded
Rules/&ConditionDeathWardedDescription	Cuando se reduce a 0 puntos de golpe, HP se establece en 1 en su lugar, evitando la muerte instantánea por daños o efectos masivos.
Rules/&ConditionConfusedTitle	Confundido
Rules/&ConditionConfusedDescription	Al comienzo de este turno, la criatura puede alejarse, no actuar en absoluto, atacar cuerpo a cuerpo a un objetivo a su alcance o actuar normalmente.
Rules/&ConditionBanishedTitle	Alejado
Rules/&ConditionBanishedDescription	La criatura se retira del juego mientras dure el hechizo, a menos que el hechizo se rompa antes. Si el hechizo permanece intacto durante toda su duración, la criatura es desterrada permanentemente si es extraplanar (celestial, diabólico, elemental).
Rules/&SpecialBehaviourConditionDuringTurnFormat	{3} se ve afectado durante el turno.
Rules/&SpecialBehaviourNoneFormat	{3} actúa normalmente.
Rules/&ConditionConfusedAttackTitle	Atacando aleatoriamente
Rules/&ConditionConfusedAttackDescription	La criatura debe usar su acción para atacar aleatoriamente a una criatura dentro de su alcance si es posible.
Rules/&ConditionConfusedMoveTitle	Moviéndose aleatoriamente
Rules/&ConditionConfusedMoveDescription	La criatura debe moverse en una dirección aleatoria.
Rules/&ConditionConfusedIncapacitatedTitle	Incapacitado
Rules/&ConditionConfusedIncapacitatedDescription	La criatura no puede hacer nada debido a su confusión.
Rules/&ConditionFeatRaiseShieldDescription	Obtienes +3 CA hasta el final del turno del atacante.
Rules/&ConditionFeatRaiseShieldTitle	Escudo levantado
Rules/&ConditionFeatTwinBladeDescription	Obtienes +3 CA hasta el final del turno del atacante.
Rules/&ConditionFeatTwinBladeTitle	Bloque de hoja doble
Rules/&DurationTurnSingleFormat	{0} girar
Rules/&DurationTurnPluralFormat	{0} vueltas
Rules/&ConditionFeatTakeAimDescription	Tus ataques con armas a distancia no tienen desventajas ni ventajas, sin importar las condiciones.
Rules/&ConditionFeatTakeAimTitle	Apuntando
Rules/&ConditionFeatRushToBattleDescription	Tu velocidad de movimiento aumenta en 3 casillas y tu CA se reduce en 2 hasta el comienzo de tu turno.
Rules/&ConditionFeatRushToBattleTitle	Corriendo a la batalla
Rules/&ConditionDispellingEvilAndGoodTitle	Disipando el bien y el mal
Rules/&ConditionDispellingEvilAndGoodDescription	Los celestiales, elementales, feys, demonios y muertos vivientes tienen desventajas en los ataques contra ti. También puedes cancelar un encantamiento hostil o descartar una criatura extraplanar golpeada por uno de tus ataques.
Rules/&ConditionMindControlledDescription	La criatura se une al lanzador controlador.
Rules/&ConditionMindDominatedDescription	Las acciones de la criatura están totalmente controladas por el lanzador.
Rules/&ConditionMindDominatedTitle	Mente dominada
Rules/&ConditionOnAcidTitle	Quemado por el ácido
Rules/&ConditionPheromonedTitle	Hedor de feromonas
Rules/&ConditionPheromonedDescription	-3 a las pruebas de habilidad de Carisma.
Rules/&ConditionOnAcidDescription	Recibe 1d3 de daño por ácido al final de tu turno durante 3 turnos.
Rules/&ActivationTypePermanentTitle	Permanente
Rules/&MonsterSpellcastingTitle	Lanzamiento de hechizos
Rules/&MonsterSpellcastingDescription	La criatura tiene la capacidad de lanzar hechizos.
Rules/&ConditionCalmedByCalmEmotionsEnemyTitle	Enemigo calmado
Rules/&ConditionCalmedByCalmEmotionsEnemyDescription	La criatura es indiferente hacia los enemigos a menos que esté herida.
Rules/&ConditionCalmedByCalmEmotionsAllyTitle	Aliado calmado
Rules/&ConditionCalmedByCalmEmotionsAllyDescription	La criatura no puede ser encantada ni asustada.
Rules/&ConditionArcaneShockedTitle	Arcano Conmocionado
Rules/&ConditionArcaneShockedDescription	Tus dados de hechizos de ataque infligen al menos un daño medio.
Rules/&ConditionHidingInPlainSightTitle	Ocultos a plena vista
Rules/&ConditionHidingInPlainSightDescription	+10 DEX (Sigilo) mientras estás de pie contra una pared.
Rules/&KillFormAlwaysFormat	La criatura objetivo muere.
Rules/&KillFormUnderChallengeRatingFormat	La criatura objetivo muere si su índice de desafío es {0} o menor.
Rules/&KillFormUnderHitPointsFormat	La criatura objetivo muere si sus puntos de golpe restantes son iguales a {0} o menos.
Rules/&ConditionSwallowedTitle	Engullido
Rules/&ConditionSwallowedRemorhazDescription	No puede actuar y recibe 6d6 de daño por ácido cada turno. Un solo ataque de 30 puntos de daño puede obligar al tragador a regurgitar.
Rules/&AlterationFormLightUpFormat	Enciende fuentes de luz.
Rules/&ConditionOnFire_Elemental_Title	En llamas (Elemental de fuego)
Rules/&ConditionOnFire_Spider_Title	En llamas (Araña de fuego)
Rules/&ConditionOnFire_Osprey_Title	En llamas (águila pescadora de fuego)
Rules/&ReviveFormFormat	Revive un personaje muerto
Rules/&ConditionHeroismDescription	No se puede asustar
Rules/&RateD6_56FormatTitle	en 5 o 6 en 1d6
Rules/&OrientationNorthTitle	norte
Rules/&OrientationEastTitle	este
Rules/&OrientationSouthTitle	Sur
Rules/&OrientationWestTitle	Oeste
