Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&TemporaryHitPointsFormFormat	{0} {1} {2} pontos de vida temporários
Rules/&TopologyFormProjectileBlockerFormat	Bloqueia projéteis comuns (setas, parafusos, etc.)
Rules/&TopologyFormSightBlockerFormat	Bloqueia a linha de visão
Rules/&TurnOccurenceEndOfTurnFormat	Fim da Curva
Rules/&TurnOccurenceEndOfTurnNoPerceptionOfSourceFormat	Fim da Curva
Rules/&TurnOccurenceStartOfTurnFormat	Início da curva
Rules/&VerboseComponentTitle	V
Rules/&VersatileDamageFormFormat	\nVersátil: {0} {1} {2} {3}
Rules/&VersatileTwoHandedTitle	Duas mãos:
Rules/&WeightFormat	{0} {1}
Rules/&WeightRatioFormat	{0} / {1} {2}
Rules/&TopologyFormDifficultThroughFormat	Esta área retarda aqueles que a atravessam.
Rules/&TopologyFormSightImpairedFormat	As criaturas nesta área não podem ver nada.
Rules/&TopologyFormDangerousZoneFormat	Essa área machuca quem a atravessa.
Rules/&EffectTargetCubeWithOffsetTitle	Cubo de 3 células originado de você
Rules/&ConditionBlessingSorrtarrTitle	Bênção de Sorr-Tarr
Rules/&ConditionBlessingSorrtarrDescription	Parece aliviar os Soraks de sua vulnerabilidade à luz.
Rules/&ConditionAnnoyedByBeeTitle	Distraído por uma abelha irritante
Rules/&ConditionAnnoyedByBeeDescription	Desvantagem na concentração até o próximo turno.
Rules/&ConditionDetectPoisonAndDiseaseTitle	Detectar veneno e doença
Rules/&ConditionDetectPoisonAndDiseaseDescription	Durante o feitiço, você pode sentir criaturas venenosas e doenças a 6 células de você.
Rules/&ConditionCharmedByAnimalFrienshipTitle	Charmed by Animal Friendship
Rules/&ConditionCharmedByAnimalFrienshipDescription	Esta besta ficará encantada enquanto durar o feitiço ou até que você ou um de seus companheiros a machuque.
Rules/&ConditionSanctuaryTitle	Santuário
Rules/&ConditionSanctuaryDescription	Você protege uma criatura dentro do alcance contra um ataque. Até que a magia termine, qualquer criatura que tenha como alvo a criatura protegida com um ataque ou magia prejudicial deve fazer um teste de resistência de Sabedoria ou escolher outro alvo.
Rules/&ConditionWardedBySanctuaryTitle	Protegido por Santuário
Rules/&ConditionWardedBySanctuaryDescription	Você está protegido até o fim do feitiço ou até lançar um feitiço ou lançar um ataque.
Rules/&ConditionProtectedFromEnergyAcidTitle	Protegido de Ácido
Rules/&ConditionProtectedFromEnergyAcidDescription	Resistência a danos por ácido
Rules/&ConditionProtectedFromEnergyColdTitle	Protegido do frio
Rules/&ConditionProtectedFromEnergyColdDescription	Resistência a danos causados ​​pelo frio
Rules/&ConditionProtectedFromEnergyFireTitle	Protegido do fogo
Rules/&ConditionProtectedFromEnergyFireDescription	Resistência a danos de fogo
Rules/&ConditionProtectedFromEnergyLightningTitle	Protegido contra raios
Rules/&ConditionProtectedFromEnergyLightningDescription	Resistência a danos por raio
Rules/&ConditionProtectedFromEnergyThunderTitle	Protegido do trovão
Rules/&ConditionProtectedFromEnergyThunderDescription	Resistência aos danos do trovão
Rules/&AlterationFormDissipateSpellFormat	Dissipa feitiços em objetos
Rules/&ConditionMindControlledByConjureAnimalTitle	Animal Conjurado
Rules/&ConditionMindControlledByConjureAnimalDescription	Este animal foi conjurado por outra criatura.
Rules/&ConditionSilencedTitle	Silenciado
Rules/&ConditionWardedByWardingBondTitle	Protegido por Warding Bond
Rules/&ConditionWardedByWardingBondDescription	Temp
Rules/&ConditionWaterWalkTitle	Water Walking
Rules/&ConditionWaterWalkDescription	Temp
Rules/&ConditionWaterBreathingTitle	Respiração de água
Rules/&ConditionWaterBreathingDescription	Temp
Rules/&ConditionRestrictedInsideMagicCircleDescription	Temp
Rules/&ConditionProtectedInsideMagicCircleDescription	Temp
Rules/&ConditionComprehendLanguagesTitle	Compreender idiomas
Rules/&ConditionComprehendLanguagesDescription	Pode ler e falar qualquer idioma.
Rules/&ConditionStaffOfMetisTitle	Resistência Elemental
Rules/&ConditionStaffOfMetisDescription	Resistência a danos por frio, fogo e relâmpago.
Rules/&ConditionFlying6Description	A criatura alvo ganha uma velocidade de vôo de 6 células por ação de movimento.
Rules/&AlterationFormAbilityScoreIncreaseValueFormat	Aumenta a pontuação de {0} em {1}.
Rules/&AlterationFormAbilityScoreIncreaseMaximumFormat	Aumenta o {0} máximo em {1}.
Rules/&ConditionHeavyArmorOverloadDescription	STR insuficiente para esta armadura pesada. A velocidade é reduzida em 2.
Rules/&ConditionHeavyArmorOverloadTitle	Sobrecarga de armadura pesada
Rules/&MoveModeWalkTitle	Caminhar
Rules/&MoveModeClimbTitle	Escalar
Rules/&MoveModeFlyTitle	Mosca
Rules/&MoveModeIncorporealTitle	Incorpóreo
Rules/&MoveModeSwimTitle	Nadar
Rules/&MoveModeBurrowTitle	Toca
Rules/&ConditionCloakOfDisplacementDescription	Ataques a esta criatura têm desvantagem, desde que ela esteja consciente e seja capaz de se mover. Deixa de funcionar até a próxima curva se danificado.
Rules/&ConditionCloakOfDisplacementTitle	Deslocado
Rules/&ConditionHeavilyObscuredDescription	A visão da criatura está fortemente obscurecida; desvantagem nas jogadas de ataque; jogadas de ataque contra a criatura têm desvantagem.
Rules/&ConditionConjuredCreatureDescription	Esta criatura foi conjurada por um efeito mágico
Rules/&ConditionConjuredCreatureTitle	Criatura Conjurada
Rules/&ConditionBleedingDescription	As criaturas sofrem 1D6 de dano necrótico no início de seu turno.
Rules/&ConditionBleedingTitle	Doomblade Cut
Rules/&ConditionSilencedDescription	A criatura não emite nenhum som e não pode falar ou lançar feitiços com um componente verbal.
Rules/&ConditionProtectedFromEvilDescription	Aberrações, celestiais, elementais, feys, demônios e mortos-vivos têm desvantagem para atacar o alvo e não podem enfeitiçá-lo, amedrontá-lo ou possuí-lo. Se o alvo já estiver encantado, assustado ou possuído por tal criatura, o alvo tem vantagem em qualquer novo teste de resistência contra o efeito relevante.
Rules/&ConditionMarkedByFateDescription	Recebe dano adicional ao ser atingido.
Rules/&ConditionMarkedByFateTitle	Marca do Destino
Rules/&ConditionStepbackDescription	Aproveite a vantagem no próximo ataque com um arco neste turno.
Rules/&ConditionStepbackTitle	Step Back Advantage
Rules/&ConditionInvisibleGreaterDescription	Não pode ser visto sem magia; a criatura tem vantagem nos ataques; os atacantes têm desvantagem. A criatura permanece invisível mesmo quando ataca e lança feitiços.
Rules/&ConditionInvisibleGreaterTitle	Invisível (Maior)
Rules/&ConditionStoneskinDescription	Resistência a danos não mágicos de golpes, cortes e perfurações.
Rules/&ConditionStoneskinTitle	Pele de pedra
Rules/&ConditionFrightenedPhantasmalKillerDescription	A criatura está assustada e recebe dano psíquico a cada turno até ter sucesso em um teste de resistência.
Rules/&ConditionFrightenedPhantasmalKillerTitle	Assustado por Phantasm
Rules/&ConditionFireShieldWarmDescription	Resistente ao frio e retalia com dano de fogo contra atacantes corpo a corpo.
Rules/&ConditionFireShieldColdDescription	Resistente ao fogo e retalia com dano frio contra atacantes corpo a corpo.
Rules/&ConditionDeathWardedTitle	Death Warded
Rules/&ConditionDeathWardedDescription	Quando reduzido a 0 pontos de vida, o HP é definido para 1 em vez disso, evitando a morte instantânea de danos ou efeitos massivos.
Rules/&ConditionConfusedTitle	Confuso
Rules/&ConditionConfusedDescription	No início deste turno, a criatura pode se mover para longe, não agir de forma alguma, atacar corpo a corpo um alvo dentro do alcance ou agir normalmente.
Rules/&ConditionBanishedTitle	Banido
Rules/&ConditionBanishedDescription	A criatura é removida do jogo enquanto durar o feitiço, a menos que o feitiço seja quebrado antes disso. Se a magia permanecer ininterrupta por toda a sua duração, a criatura será banida permanentemente se for extraplanar (celestial, demônio, elemental).
Rules/&SpecialBehaviourConditionDuringTurnFormat	{3} é afetado durante o turno.
Rules/&SpecialBehaviourNoneFormat	{3} age normalmente.
Rules/&ConditionConfusedAttackTitle	Atacando Aleatoriamente
Rules/&ConditionConfusedAttackDescription	A criatura deve usar sua ação para atacar aleatoriamente uma criatura dentro de seu alcance, se possível.
Rules/&ConditionConfusedMoveTitle	Movendo-se Aleatoriamente
Rules/&ConditionConfusedMoveDescription	A criatura deve se mover em uma direção aleatória.
Rules/&ConditionConfusedIncapacitatedTitle	Incapacitado
Rules/&ConditionConfusedIncapacitatedDescription	A criatura não pode fazer nada devido à sua confusão.
Rules/&ConditionFeatRaiseShieldDescription	Você recebe +3 AC até o final do turno do atacante.
Rules/&ConditionFeatRaiseShieldTitle	Escudo Elevado
Rules/&ConditionFeatTwinBladeDescription	Você recebe +3 AC até o final do turno do atacante.
Rules/&ConditionFeatTwinBladeTitle	Bloco de lâmina dupla
Rules/&DurationTurnSingleFormat	{0} vez
Rules/&DurationTurnPluralFormat	{0} voltas
Rules/&ConditionFeatTakeAimDescription	Seus ataques com armas de longo alcance não têm desvantagem ou vantagem, não importa as condições.
Rules/&ConditionFeatTakeAimTitle	Tirando o alvo
Rules/&ConditionFeatRushToBattleDescription	Sua velocidade de movimento é aumentada em 3 células e sua CA é reduzida em 2 até o início do seu turno.
Rules/&ConditionFeatRushToBattleTitle	Correndo para a batalha
Rules/&ConditionDispellingEvilAndGoodTitle	Dissipando o mal e o bem
Rules/&ConditionDispellingEvilAndGoodDescription	Celestiais, elementais, feys, demônios e mortos-vivos têm desvantagem em ataques contra você. Você também pode cancelar um encantamento hostil ou dispensar uma criatura extraplanar atingida por um de seus ataques.
Rules/&ConditionMindControlledDescription	A criatura está se juntando ao lançador controlador.
Rules/&ConditionMindDominatedDescription	As ações da criatura são totalmente controladas pelo lançador.
Rules/&ConditionMindDominatedTitle	Mind Dominated
Rules/&ConditionOnAcidTitle	Queimado por ácido
Rules/&ConditionPheromonedTitle	Fedor de feromônio
Rules/&ConditionPheromonedDescription	-3 para testes de habilidade de Carisma.
Rules/&ConditionOnAcidDescription	Sofre 1d3 de dano de ácido no final do seu turno por 3 turnos.
Rules/&ActivationTypePermanentTitle	Permanente
Rules/&MonsterSpellcastingTitle	Feitiço
Rules/&MonsterSpellcastingDescription	A criatura tem a habilidade de lançar feitiços.
Rules/&ConditionCalmedByCalmEmotionsEnemyTitle	Inimigo Acalmado
Rules/&ConditionCalmedByCalmEmotionsEnemyDescription	A criatura é indiferente aos inimigos, a menos que esteja ferida.
Rules/&ConditionCalmedByCalmEmotionsAllyTitle	Aliado Acalmado
Rules/&ConditionCalmedByCalmEmotionsAllyDescription	A criatura não pode ser encantada ou assustada.
Rules/&ConditionArcaneShockedTitle	Arcano Chocado
Rules/&ConditionArcaneShockedDescription	Seus dados de feitiços de ataque causam pelo menos um dano médio.
Rules/&ConditionHidingInPlainSightTitle	Escondendo-se em plena vista
Rules/&ConditionHidingInPlainSightDescription	+10 DEX (Stealth) enquanto você está contra uma parede.
Rules/&KillFormAlwaysFormat	A criatura alvo é morta.
Rules/&KillFormUnderChallengeRatingFormat	A criatura alvo é morta se sua taxa de desafio for {0} ou inferior.
Rules/&KillFormUnderHitPointsFormat	A criatura alvo é morta se seus pontos de vida restantes forem iguais a {0} ou menos.
Rules/&ConditionSwallowedTitle	Engolido
Rules/&ConditionSwallowedRemorhazDescription	Não pode agir e sofre 6d6 de dano de ácido a cada turno. Um único ataque de 30 de dano pode forçar o engolidor a regurgitar.
Rules/&AlterationFormLightUpFormat	Acende fontes de luz.
Rules/&ConditionOnFire_Elemental_Title	Em chamas (Fire Elemental)
Rules/&ConditionOnFire_Spider_Title	Em chamas (aranha de fogo)
Rules/&ConditionOnFire_Osprey_Title	Em chamas (Fire Osprey)
Rules/&ReviveFormFormat	Revive um personagem morto
Rules/&ConditionHeroismDescription	Não pode ter medo
Rules/&RateD6_56FormatTitle	em 5 ou 6 em 1d6
Rules/&OrientationNorthTitle	Norte
Rules/&OrientationEastTitle	leste
Rules/&OrientationSouthTitle	Sul
Rules/&OrientationWestTitle	Oeste
